Horizon,SDPTime,Nodes,Branches,OptTime
1,15.0,3.0,2.0,1.8399999999999999
2,26.0,8.0,5.0,0.5
3,43.0,10.0,6.0,0.4400000000000013
4,58.0,10.0,6.0,0.4800000000000004
5,73.0,10.0,6.0,0.4499999999999993
6,86.0,10.0,6.0,0.4700000000000024
7,97.0,10.0,6.0,0.490000000000002
8,106.0,11.0,6.0,0.4800000000000004
9,116.0,11.0,6.0,0.5
10,122.0,11.0,6.0,0.5
11,129.0,11.0,6.0,0.4499999999999993
12,135.0,11.0,6.0,0.4800000000000004
13,140.0,11.0,6.0,0.46999999999999886
14,145.0,10.0,6.0,0.48999999999999844
15,149.0,11.0,6.0,0.44000000000000483
