Horizon,SDPTime,Nodes,Branches,OptTime
1,20.0,3.0,2.0,2.25
2,24.0,3.0,2.0,0.6400000000000006
3,29.0,3.0,2.0,0.47000000000000064
4,32.0,3.0,2.0,0.45000000000000107
5,34.0,3.0,2.0,0.490000000000002
6,36.0,3.0,2.0,0.48999999999999844
7,38.0,3.0,2.0,0.4800000000000004
8,40.0,3.0,2.0,0.4800000000000004
9,42.0,3.0,2.0,0.4800000000000004
10,44.0,3.0,2.0,0.48999999999999844
11,46.0,3.0,2.0,0.5799999999999983
12,48.0,3.0,2.0,0.6099999999999994
13,51.0,3.0,2.0,0.5
14,53.0,3.0,2.0,0.5599999999999987
15,55.0,3.0,2.0,0.46000000000000085
