Horizon,SDPTime,Nodes,Branches,OptTime
1,15.0,3.0,2.0,1.9400000000000013
2,26.0,8.0,5.0,0.5199999999999996
3,48.0,12.0,7.0,0.47999999999999865
4,72.0,16.0,9.0,0.5099999999999998
5,104.0,20.0,11.0,0.4499999999999993
6,129.0,24.0,13.0,0.5
7,150.0,27.0,14.0,0.46000000000000085
8,169.0,27.0,14.0,0.4799999999999969
9,184.0,27.0,14.0,0.480000000000004
10,193.0,27.0,14.0,0.490000000000002
11,201.0,27.0,14.0,0.46000000000000085
12,210.0,27.0,14.0,0.4799999999999969
13,217.0,27.0,14.0,0.480000000000004
14,225.0,27.0,14.0,0.46000000000000085
15,232.0,27.0,14.0,0.480000000000004
